jahr,geber,politikbereich,betrag,plz,name
2015,22,21,398,370,1. Berliner Bogenschützen e. V.
2016,22,21,475,370,1. Berliner Bogenschützen e. V.
2016,22,21,2729,104,1. Berliner Skateboard-Verein e. V.
2014,22,21,1137,330,1. FC Besiktas Berlin 2000 e. V.
2014,22,21,5910,311,1. FC Lübars e. V.
2016,22,21,4249,311,1. FC Lübars e. V.
2011,10,21,764,172,1. FC Schöneberg 1913 e. V.
2013,10,21,2000,120,1. FC Schöneberg 1913 e.V
2011,22,21,3459,95,1. FC Wilmersdorf 1911 e. V.
2012,22,21,3459,95,1. FC Wilmersdorf 1911 e. V.
2013,22,21,2656,94,1. FC Wilmersdorf 1911 e. V.
2014,22,21,4079,94,1. FC Wilmersdorf 1911 e. V.
2015,22,21,3645,94,1. FC Wilmersdorf 1911 e. V.
2016,22,21,4830,94,1. FC Wilmersdorf 1911 e. V.
2014,22,21,362,263,1. Friedrichshainer BUDO - Club 90 e. V.
2016,22,21,250,263,1. Friedrichshainer BUDO - Club 90 e. V.
2010,22,21,385,263,1. Friedrichshainer Budo-Club ´90 e. V.
2011,22,21,339,263,1. Friedrichshainer Budo-Club ´90 e. V.
2012,22,21,339,263,1. Friedrichshainer Budo-Club ´90 e. V.
2013,22,21,288,263,1. Friedrichshainer Budo-Club ´90 e.V.
2015,22,21,370,263,1. Friedrichshainer Budo-Club 90 e. V.
2013,22,21,944,330,1. Fußball Club Besiktas Berlin 2000 e. V.
2015,22,21,1300,330,1. Fußball Club Besiktas Berlin 2000 e. V.
2015,22,21,7723,228,1. Fußball Club Union Berlin
2011,11,21,1000,228,1. Fußball Club Union Berlin e. V.
2013,11,17,2410,228,1. Fußball Club Union Berlin e. V.
2013,11,21,500,228,1. Fußball Club Union Berlin e. V.
2016,17,04,88320,228,1. Fußball Club Union Berlin e. V.
2010,22,21,4100,228,1. Fußball Club Union Berlin e. V.
2010,22,21,8367,228,1. Fußball Club Union Berlin e. V.
2010,22,21,11752,228,1. Fußball Club Union Berlin e. V.
2011,22,21,4100,228,1. Fußball Club Union Berlin e. V.
2011,22,21,8356,228,1. Fußball Club Union Berlin e. V.
2011,22,21,16466,228,1. Fußball Club Union Berlin e. V.
2012,22,21,4100,228,1. Fußball Club Union Berlin e. V.
2012,22,21,8356,228,1. Fußball Club Union Berlin e. V.
2012,22,21,16466,228,1. Fußball Club Union Berlin e. V.
2013,22,21,4100,228,1. Fußball Club Union Berlin e. V.
2013,22,21,8511,228,1. Fußball Club Union Berlin e. V.
2013,22,21,15951,228,1. Fußball Club Union Berlin e. V.
2014,22,21,4100,228,1. Fußball Club Union Berlin e. V.
2014,22,21,7860,228,1. Fußball Club Union Berlin e. V.
2014,22,21,22184,228,1. Fußball Club Union Berlin e. V.
2015,22,21,23168,228,1. Fußball Club Union Berlin e. V.
2016,22,21,5321,228,1. Fußball Club Union Berlin e. V.
2016,22,21,7705,228,1. Fußball Club Union Berlin e. V.
2016,22,21,24884,228,1. Fußball Club Union Berlin e. V.
2012,17,04,19200,228,1. Fußball Cub Union Berlin e. V.
2013,17,04,54400,228,1. Fußball Cub Union Berlin e. V.
2014,17,04,83413,228,1. Fußball Cub Union Berlin e. V.
2010,22,21,4505,311,1. Fußball-Club Lübars e. V.
2011,22,21,4432,311,1. Fußball-Club Lübars e. V.
2012,22,21,4432,311,1. Fußball-Club Lübars e. V.
2013,22,21,4320,311,1. Fußball-Club Lübars e. V.
2015,22,21,4595,311,1. Fußball-Club Lübars e. V.
2010,22,21,1260,251,1. Fußball-Club Marzahn 94 e. V.
2011,22,21,1500,251,1. Fußball-Club Marzahn 94 e. V.
2012,22,21,1500,251,1. Fußball-Club Marzahn 94 e. V.
2013,22,21,812,120,1. Fußball-Club Schöneberg 1913 e. V.
2015,22,21,1848,120,1. Fußball-Club Schöneberg 1913 e. V.
2015,22,21,4513,228,1. Fussball-Club Union
2014,22,21,2676,193,1. Fussball-Club Wacker 1921, Lankwitz e. V.
2016,22,21,2604,193,1. Fussball-Club Wacker 1921, Lankwitz e. V.
2009,11,21,400,223,1. Köpenicker Drachenboot e. V.
2010,22,21,558,320,1. Spandauer Tauchsportclub Lobster e. V.
2011,22,21,543,320,1. Spandauer Tauchsportclub Lobster e. V.
2012,22,21,543,320,1. Spandauer Tauchsportclub Lobster e. V.
2013,22,21,479,320,1. Spandauer Tauchsportclub Lobster e. V.
2014,22,21,601,320,1. Spandauer Tauchsportclub LOBSTER e. V.
2015,22,21,642,320,1. Spandauer Tauchsportclub Lobster e. V.
2016,22,21,615,320,1. Spandauer Tauchsportclub LOBSTER e. V.
2010,22,21,962,275,1. Squashverein Pankow e. V.
2013,22,21,352,275,1. Squashverein Pankow e. V.
2014,22,21,1184,275,1. Squashverein Pankow e. V.
2015,22,21,846,275,1. Squashverein Pankow e. V.
2016,22,21,483,275,1. Squashverein Pankow e. V.
2010,22,21,2350,162,1. Traber-Fußball Club Mariendorf e. V.
2010,22,21,6150,418,1. Verein für Leichtathletik Fortuna Marzahn e. V.
2010,22,21,4162,418,1. Verein für Leichtathletik Fortuna Marzahn e. V.
2011,22,21,3901,418,1. Verein für Leichtathletik Fortuna Marzahn e. V.
2011,22,21,6150,418,1. Verein für Leichtathletik Fortuna Marzahn e. V.
2012,22,21,3901,418,1. Verein für Leichtathletik Fortuna Marzahn e. V.
2012,22,21,5535,418,1. Verein für Leichtathletik Fortuna Marzahn e. V.
2013,22,21,3747,418,1. Verein für Leichtathletik Fortuna Marzahn e. V.
2013,22,21,6150,418,1. Verein für Leichtathletik Fortuna Marzahn e. V.
2014,22,21,6150,418,1. Verein für Leichtathletik FORTUNA Marzahn e. V.
2014,22,21,4415,418,1. Verein für Leichtathletik FORTUNA Marzahn e. V.
2015,22,21,4513,418,1. Verein für Leichtathletik Fortuna Marzahn e. V.
2016,22,21,7982,418,1. Verein für Leichtathletik FORTUNA Marzahn e. V.
2016,22,21,5059,418,1. Verein für Leichtathletik FORTUNA Marzahn e. V.
2009,10,21,500,172,1.FC Schöneberg 1913 e. V.
2010,10,21,946,172,1.FC Schöneberg 1913 e. V.
2014,22,21,2411,120,1.FC Schöneberg 1913 e. V.
2016,22,21,3761,120,1.FC Schöneberg 1913 e. V.
2010,22,21,3137,193,1.Fußball Club Wacker 1921 Lankwitz
2011,22,21,1638,193,1.Fußball Club Wacker 1921 Lankwitz
2012,22,21,1638,193,1.Fußball Club Wacker 1921 Lankwitz
2013,22,21,1747,186,1.Fußball Club Wacker 1921 Lankwitz
2015,22,21,1848,193,1.Fußball Club Wacker 1921 Lankwitz
2010,22,21,1916,161,1.SV Galatasaray Berlin e. V.
2011,22,21,1774,161,1.SV Galatasaray Berlin e. V.
2012,22,21,1774,161,1.SV Galatasaray Berlin e. V.
2009,29,28,75890,97,1000eyes GmbH
2013,28,28,20000,361,1000shapes GmbH
2013,28,28,20000,361,1000shapes GmbH
2016,28,28,14700,361,1000shapes GmbH
2012,28,28,69018,22,10START GmbH
2012,28,28,314702,22,10START GmbH
2013,28,28,20000,22,10START GmbH
2013,28,28,20000,22,10START GmbH
2015,12,16,2300,10,1219. Deutsche Stiftung für interreligösen und interkulturellen Dialog. E. V.
2014,28,28,1900,74,14 Kilometers - the shortest distance between North Africa and Europe e. V.
2015,28,28,1900,74,14 Kilometers - the shortest distance between North Africa and Europe e. V.
2016,28,28,2000,74,14 Kilometers - the shortest distance between North Africa and Europe e. V.
2010,30,07,28000,167,23 Nisan e. V.
2012,17,14,35000,216,24 Std. KiBe 'Die wilden Knallerbsen' e.V.
2015,28,28,2800,08,24Insights GmbH
2015,28,28,1750,08,24Insights GmbH
2016,16,02,4800,330,2heels4u GmbH
2015,28,28,20000,63,2txt - natural language generation UG (haftungsbeschränkt)
2016,28,28,170000,63,2txt - natural language generation UG (haftungsbeschränkt)
2016,28,28,110076,63,2txt - natural language generation UG (haftungsbeschränkt)
2015,16,02,4933,330,2wheels4u GmbH
2009,22,21,6499,54,3 B Berlin Tischtennis e. V.
2010,22,21,55000,54,3 B Berlin Tischtennis e. V.
2010,22,21,1019,54,3 B Berlin Tischtennis e. V.
2010,29,28,70910,217,3 B Pharmaceuticals GmbH
2016,12,16,2000000,105,36. Deutscher Evangelischer Kirchentag Berlin 2017 e. V.
2016,30,16,215500,105,36. Deutscher Evangelischer Kirchentag Berlin 2017 e. V.
2013,28,28,15000,53,360dialog GmbH
2013,28,28,15000,08,360dialog GmbH
2014,28,28,20000,53,360dialog GmbH
2013,28,28,120030,217,3B Pharmaceuticals GmbH
2016,28,28,414310,217,3B Pharmaceuticals GmbH
2013,28,28,52063,102,3d-berlin vr solutions GmbH
2013,28,28,106941,102,3d-berlin vr solutions GmbH
2014,28,28,19360,102,3d-berlin vr solutions GmbH
2015,28,28,2716,102,3d-berlin vr solutions GmbH
2016,28,28,2000,102,3d-berlin vr solutions GmbH
2016,28,28,8938,102,3d-berlin vr solutions GmbH
2010,29,28,222087,102,3d-berlin vr solutions GmbH
2011,29,28,3000,102,3d-berlin vr solutions GmbH
2011,29,28,14000,102,3d-berlin vr solutions GmbH
2012,28,28,64940,139,3pc GmbH Neue Kommunikation
2015,28,28,2100,139,3pc GmbH Neue Kommunikation
2016,28,28,1400,139,3pc GmbH Neue Kommunikation
2016,28,28,37140,139,3pc GmbH Neue Kommunikation
2013,28,28,5250,223,3R LifeScience GmbH
2012,28,28,20000,170,3S Antriebe GmbH
2013,28,28,99400,170,3S Antriebe GmbH
2010,29,28,124761,170,3S Antriebe GmbH
2014,28,28,20000,82,3YOURMIND GmbH
2016,28,28,620000,83,3YOURMIND GmbH
2016,28,28,175490,83,3YOURMIND GmbH
2016,28,28,14000,82,3YOURMIND GmbH
2012,28,28,44500,31,42com Telecommunication GmbH
2013,28,28,15000,31,42com Telecommunication GmbH
2015,28,28,4296,31,42com Telecommunication GmbH
2015,28,28,7049,31,42com Telecommunication GmbH
2016,28,28,1800,31,42com Telecommunication GmbH
2016,28,28,1800,31,42com Telecommunication GmbH
2016,28,28,5521,31,42com Telecommunication GmbH
2009,29,28,647673,139,42com Telecommunication GmbH
2012,28,28,264750,78,4flow AG
2016,28,28,280588,78,4flow AG
2009,29,28,265266,78,4flow AG
2015,28,28,4000,10,4initia GmbH
2016,28,28,20000,10,4initia GmbH
2016,28,28,20000,10,4initia GmbH
2016,28,28,8000,10,4initia GmbH
2016,28,28,7815,136,4yourfinance UG (haftungsbeschränkt)
2013,28,28,40570,279,5 CUPS and some sugar GmbH
2016,28,28,2520,217,5micron GmbH
2016,28,28,45280,217,5micron GmbH
2016,28,28,315000,217,5micron GmbH
2013,28,28,67557,08,6 Wunderkinder GmbH
2013,28,28,666114,08,6 Wunderkinder GmbH
2010,29,28,18450,12,6 Wunderkinder GmbH
2011,29,28,18450,08,6 Wunderkinder GmbH
2014,14,17,1800,97,7 Star Music & Media UG
2015,28,28,202000,23,7NXT Health GmbH
2010,22,21,215,238,81er Wandergesellen e. V.
2011,22,21,214,238,81er Wandergesellen e. V.
2012,22,21,214,238,81er Wandergesellen e. V.
2013,22,21,144,238,81er Wandergesellen e. V.
2014,22,21,182,238,81er Wandergesellen e. V.
2015,22,21,129,238,81er Wandergesellen e. V.
2016,22,21,136,238,81er Wandergesellen e. V.
2010,29,28,31960,143,908video gmbh
